perftst1@sjb,:NA,perftst1
perftst2@sjb,:NA,perftst2
perftst3@sjb,:NA,perftst3
perftst4@sjb,:NA,perftst4
perftst5@sjb,:NA,perftst5
perftst6@sjb,:NA,perftst6
perftst7@sjb,:NA,perftst7
perftst8@sjb,:NA,perftst8
perftst9@sjb,:NA,perftst9
perfts10@sjb,:NA,perfts10
perfts11@sjb,:NA,perfts11
perfts12@sjb,:NA,perfts12
perfts13@sjb,:NA,perfts13
perfts14@sjb,:NA,perfts14
perfts15@sjb,:NA,perfts15
perfts16@sjb,:NA,perfts16
perfts17@sjb,:NA,perfts17
perfts18@sjb,:NA,perfts18
perfts19@sjb,:NA,perfts19
perfts20@sjb,:NA,perfts20
perfts21@sjb,:NA,perfts21
perfts22@sjb,:NA,perfts22
perfts23@sjb,:NA,perfts23
perfts24@sjb,:NA,perfts24
perfuk01@dds,:EU,perfuk01
perfuk02@dds1,:EU,perfuk02
perfuk03@dds1,:EU,perfuk03
perfuk04@dds1,:EU,perfuk04
perfuk05@dds1,:EU,perfuk05
perfuk06@dds1,:EU,perfuk06
perfuk07@dds1,:EU,perfuk07
perfuk08@dds1,:EU,perfuk08
perfuk09@dds1,:EU,perfuk09
perfuk10@dds1,:EU,perfuk10
perfuk11@dds1,:EU,perfuk11
perfuk12@dds1,:EU,perfuk12
perfuk13@dds1,:EU,perfuk13
perfuk14@dds1,:EU,perfuk14
perfuk15@dds1,:EU,perfuk15
q1ipgydy@ipg.com,,a12345!
q2ipgydy@ipg.com,,a12345!
q3ipgydy@ipg.com,,a12345!
q4ipgydy@ipg.com,,a12345!
q5ipgydy@ipg.com,,a12345!
q6ipgydy@ipg.com,,a12345!
q6ipgydy@ipg.com,,a12345!
q7ipgydy@ipg.com,,a12345!
q8ipgydy@ipg.com,,a12345!
q9ipgydy@ipg.com,,a12345!
Lionel l@mbs.com,,test
