rsharma@sjb,:NA,pass1234,22
perftst1@sjb,:NA,perftst1,22
perftst2@sjb,:NA,perftst2,22
perftst3@sjb,:NA,perftst3,22
perftst4@sjb,:NA,perftst4,22
perftst5@sjb,:NA,perftst5,22
perftst6@sjb,:NA,perftst6,22
perftst7@sjb,:NA,perftst7,22
perftst8@sjb,:NA,perftst8,22
perftst9@sjb,:NA,perftst9,22
perfts10@sjb,:NA,perfts10,22
perfts11@sjb,:NA,perfts11,22
perfts12@sjb,:NA,perfts12,22
perfts13@sjb,:NA,perfts13,22
perfts14@sjb,:NA,perfts14,22
perfts15@sjb,:NA,perfts15,22
perfts16@sjb,:NA,perfts16,22
perfts17@sjb,:NA,perfts17,22
perfts18@sjb,:NA,perfts18,22
perfts19@sjb,:NA,perfts19,22
perfts20@sjb,:NA,perfts20,22
perfts21@sjb,:NA,perfts21,22
perfts22@sjb,:NA,perfts22,22
perfts23@sjb,:NA,perfts23,22
perfts24@sjb,:NA,perfts24,22
perfuk01@dds1,:EU,perfuk01,35
perfuk02@dds1,:EU,perfuk02,35
perfuk03@dds1,:EU,perfuk03,35
perfuk04@dds1,:EU,perfuk04,35
perfuk05@dds1,:EU,perfuk05,35
perfuk06@dds1,:EU,perfuk06,35
perfuk07@dds1,:EU,perfuk07,35
perfuk08@dds1,:EU,perfuk08,35
perfuk09@dds1,:EU,perfuk09,35
perfuk10@dds1,:EU,perfuk10,35
perfuk11@dds1,:EU,perfuk11,35
perfuk12@dds1,:EU,perfuk12,35
perfuk13@dds1,:EU,perfuk13,35
perfuk14@dds1,:EU,perfuk14,35
perfuk15@dds1,:EU,perfuk15,35
q1ipgydy@ipg.com,,a12345!,
q2ipgydy@ipg.com,,a12345!,
q3ipgydy@ipg.com,,a12345!,
q4ipgydy@ipg.com,,a12345!,
q5ipgydy@ipg.com,,a12345!,
q6ipgydy@ipg.com,,a12345!,
q6ipgydy@ipg.com,,a12345!,
q7ipgydy@ipg.com,,a12345!,
q8ipgydy@ipg.com,,a12345!,
q9ipgydy@ipg.com,,a12345!,
Lionel l@mbs.com,,test,
